disk_num	script_num	basic_line	string_num	source_text	background_pic	portrait_pic	language	translation
disk01	NO0	10010	31	この物語は一部を除いてフィクシ			KO	이 이야기는 일부를 제외하곤
disk01	NO0	10011	32	ョンであり、実在の人物・地名・			KO	허구이며, 실존 인물, 지명,
disk01	NO0	10012	33	団体名とは一切関係ありません。			KO	단체명과 일절 관계 없습니다.
disk01	NO0	10100	34	白・・・・・・			KO	하얀...
disk01	NO0	10150	35	白い部屋・・・	disk01/OPN1.png		KO	하얀 방...
disk01	NO0	10200	38	白・・・・・・	disk01/OPN1.png		KO	하얀...
disk01	NO0	10250	39	白い時間・・・	disk01/OPN2.png		KO	하얀 시간...
disk01	NO0	10300	41	見慣れた石畳	disk01/OPN2.png		KO	익숙한 돌바닥
disk01	NO0	10350	42	生まれ育った街	disk01/OPN2.png		KO	태어나 자란 거리
disk01	NO0	10370	43	ベイエリア・・・	disk01/OPN3.png		KO	베이 에어리어...
disk01	NO0	10400	45	時が流れていく	disk01/OPN3.png		KO	시간이 흘러간다
disk01	NO0	10450	46	霧に包まれた街角	disk01/OPN4.png		KO	안개에 휩싸인 거리 모퉁이
disk01	NO0	10500	49	影だ・・・・	disk01/OPN4.png		KO	그림자다...
disk01	NO0	10550	50	殺意を感じる	disk01/OPN5.png		KO	살기가 밀려온다
disk01	NO0	10600	52	逃げる・・・・	disk01/OPN5.png		KO	도망친다...
disk01	NO0	10650	53	何から・・・・	disk01/OPN5.png		KO	무엇에서...
disk01	NO0	10660	54	わからない・・	disk01/OPN6.png		KO	모르겠다...
disk01	NO0	10700	56	なぜ俺が・・・	disk01/OPN6.png		KO	어째서 내가...
disk01	NO0	10750	57	影の標的に・・	disk01/OPN6.png		KO	그림자의 표적이...
disk01	NO0	10760	58	わからない・・	disk01/OPN7.png		KO	모르겠다...
disk01	NO0	10800	60	走れ、走れ・・・	disk01/OPN7.png		KO	뛰어라, 뛰어...
disk01	NO0	10850	61	影に追いつかれる	disk01/OPN8.png		KO	그림자에게 따라잡힌다
disk01	NO0	10900	64	俺を殺そうとしている	disk01/OPN8.png		KO	나를 죽이려 한다
disk01	NO0	10950	65	誰・・・わからない	disk01/OPN9.png		KO	누가... 모르겠다
disk01	NO0	11000	67	逃げるんだ・・・	disk01/OPN9.png		KO	도망쳐야 한다...
disk01	NO0	11050	68	奴の足音が	disk01/OPN9.png		KO	발소리가
disk01	NO0	11060	69	そこまできた・・	disk01/OP10.png		KO	코앞까지 다가온다...
disk01	NO0	11100	71	殺意の影が	disk01/OP10.png		KO	살기 어린 그림자가
disk01	NO0	11150	72	刃物を持って	disk01/OP10.png		KO	칼을 들고
disk01	NO0	11160	73	鏡にうつる・・・	disk01/OP11.png		KO	거울에 비친다...
disk01	NO0	15000	75	ＣＤ－ＲＯＭよりＤＡＴＡの読み込みを始めます。ＨＩＴ　ＡＮＹ　ＫＥＹ	disk01/OP11.png		KO	CD-ROM에서 데이터 읽습니다. 아무 키나 눌러주세요.
disk01	NO0	15010	76	　　　　　　　　ＣＤ－ＲＯＭよりＤＡＴＡを読み込み中	disk01/OP11.png		KO	데이터를 읽는 중...
disk02	NO1	110	2	デビッド「ウワァッ！！・・・ハァ、ハァ・・・」	main/MEU4.png		KO	데이비드: 으아악!! ...하아, 하아...
disk02	NO1	120	6	デビッドは、最悪の寝覚めをしたので、全身にネットリとした汗をかいている。	disk02/OKIL.png		KO	데이비드는 끔찍한 악몽 탓에 온몸에 끈적한 땀이 흘러내렸다.
disk02	NO1	150	7	デビッド「ちくしょう！　またあの夢だ！」	disk02/OKIL.png		KO	데이비드: 젠장! 또 그 꿈인가!
disk02	NO1	160	8	子供の頃からときどき見る悪夢なのだが、なかなか慣れない・・・。	disk02/OKIL.png		KO	어렸을 때부터 가끔씩 꾸는 악몽이지만 도무지 익숙해지지 않았다...
disk02	NO1	170	9	少し気になるのは成長するに連れてリアリティ－が増し、その分うなされる回数も増えていることだ。	disk02/OKIL.png		KO	조금 마음에 걸리는 점은 시간이 지날수록 현실감이 더 커지고, 그만큼 가위 횟수도 늘고 있다는 것이다.
disk02	NO1	180	10	デビッド「このままじゃ夢に殺されてしまう。いっそ精神科にでも行くかな・・・」	disk02/OKIL.png		KO	데이비드: 이러다가 꿈으로 죽겠어. 차라리 정신과라도 가볼까...
disk02	NO1	190	11	うなされるたびにそう思うデビッドであった。	disk02/OKIL.png		KO	가위에 눌릴 때마다 그렇게 생각하는 데이비드였다.
disk02	NO1	200	12	デビッド「・・・シャワ－でも浴びるか・・・」	disk02/OKIL.png		KO	데이비드: ...샤워라도 할까...
disk02	NO1	210	13	シャワ－を浴びれば少しは気分も良くなるとデビッドは思った・・・。	disk02/OKIL.png		KO	샤워를 하면 기분이 좀 나아질 거라고 데이비드는 생각했다...
disk02	NO1	310	14	デビッド「いよいよ明日か・・・初のヨ－ロッパツア－に行くのは・・・」	disk02/SHYW.png		KO	데이비드: 드디어 내일인가... 첫 유럽 투어를 떠나는 날이...
disk02	NO1	320	15	デビッドはイギリス・インディ－ズシ－ンの中でも、デビュ－してたった１年でヨ－ロッパツア－を敢行するなど、新進気鋭のロックバンド［エレノ・ヴィジョン］の一員であり、	disk02/SHYW.png		KO	데이비드는 영국 인디 씬에서 데뷔 불과 1년 만에 유럽 투어를 감행하는 신예 록 밴드 `엘레노 비전'의 멤버이자,
disk02	NO1	330	16	そのフロントマンにふさわしい美形・知性・カリスマ性と三拍子そろったボ－カリストである。	disk02/SHYW.png		KO	프론트맨에 걸맞은 외모, 지성, 카리스마 삼박자를 갖춘 보컬이다.
disk02	NO1	400	17	部屋の中を見わたす。	disk02/SHYW.png		KO	방 안을 둘러본다.
disk02	NO1	400	18	ヨ－ロッパ・ツア－について考える。	disk02/SHYW.png		KO	유럽 투어에 대해 생각한다.
disk02	NO1	400	19	テレビのスイッチを入れる。	disk02/SHYW.png		KO	TV를 켠다.
disk02	NO1	410	20	デビッドは、冷えたミネラル・ウォ－タ－を片手に持ってソファ－に座っている。	disk02/MYR1.png		KO	데이비드는 차가운 생수병를 한 손에 들고 소파에 앉았다.
disk02	NO1	430	21	売れっ子ミュ－ジシャンのわりには質素な造りの部屋で、こぎれいに片付けている。	disk02/MYR1.png		KO	인기 뮤지션치고는 소박한 방이지만, 깔끔하게 정리되어 있었다.
disk02	NO1	440	22	デビッド「フ－ッ！　こんな調子でツア－に出るとは・・・」	disk02/MYR1.png	main/davL.png	KO	데이비드: 하아... 이런 상태로 투어를 떠나야 하다니...
disk02	NO1	450	23	デビッド「ダメだ！　そんな弱気になっていては・・・シッカリしないと・・・」	disk02/MYR1.png	main/davL.png	KO	데이비드: 안 돼! 이렇게 약해져서는... 정신 차려야 돼...
disk02	NO1	460	24	デビッド「まだこんな時間か・・・テレビでも見るか」	disk02/MYR1.png	main/davL.png	KO	데이비드: 아직 시간이 이르니... TV나 볼까?
disk02	NO1	502	26	デビッド「昼間は、国営放送は休みか！？　税金ばかり高く取るわりに、休んでいるとは・・・しっかり働いてくれよ」	disk02/MYR2.png	main/davL.png	KO	데이비드: 낮에는 국영방송이 휴방인 거야!? 세금은 잔뜩 걷어가면서 쉬다니... 일 좀 하라고!
disk02	NO1	510	28	デビッド「昼間からホラ－とは！？　この映画は相変わらずだな・・・」	disk02/JSO1.png	main/davL.png	KO	데이비드: 대낮부터 공포 영화라니!? 이 영화도 변함없구만...
disk02	NO1	515	29	デビッド「ここまでくるとほとんどコミックだな・・・俺の夢のほうがよっぽどホラ－してるよ」	disk02/JSO2.png	main/davL.png	KO	데이비드: 이쯤되면 거의 코미디인데... 내 악몽이 훨씬 더 공포야.
disk02	NO1	520	31	デビッド「オッ！　この曲は・・・最高だな！！」	disk02/JSO2.png	main/davL.png	KO	데이비드: 오! 이 노래... 정말 좋은데!!
disk02	NO1	540	33	ＢＢＤ「・・・今朝キングストン地区のリッチモンド・ロ－ドで交通事故がありました・・・死亡者は女性１名で・・・事故当時、女性は意識不明の状態のため、近くのカッセル病院に運ばれましたが、まもなく死亡いたしました」	disk02/BBC1.png	main/davL.png	KO	BBC: ...오늘 아침 킹스턴 지역의 리치먼드 거리에서 교통사고가 발생했습니다... 사망자는 여성 1명으로... 사고 당시 의식 불명 상태였던 여성은 인근 카셀 병원으로 이송되었으나 끝내 사망했습니다.
disk02	NO1	550	34	ＢＢＤ「・・・死亡した女性の名前は、クレア・スタ－ク　２１才・・・ヴュ－ズ・レ－ベル所属の、最近若者に人気があるロックバンド［エレノ・ヴィジョン］のマネ－ジャ－をしていました・・・」	disk02/BBC3.png	main/davL.png	KO	BBC: ...사망한 여성은 21세 클레어 스타크 씨이며... Views 레이블 소속으로, 최근 젊은 층에서 큰 인기를 끌고 있는 록 밴드 `엘레노 비전'의 매니저를 맡고 있었습니다...
disk02	NO1	560	35	デビッド「んっ！？・・・なに！！・・・クレアが・・・まさか！？」	disk02/BBC3.png	main/davL.png	KO	데이비드: 응!? ...뭐라고!! ...클레어가... 설마!?
disk02	NO1	570	36	ＢＢＤ「・・・このバンドは明日から、初のヨ－ロッパ・ツア－を開始する矢先に事故があり・・・ヴュ－ズ・レ－ベル社内では・・・もようです」	disk02/BBC2.png	main/davL.png	KO	BBC: ...이 밴드는 내일부터 첫 유럽 투어를 시작할 예정이었던 터라... Views 레이블 내부에서는... 인 상황입니다.
disk02	NO1	640	37	電話は、同じバンドのマ－チンからだ。	disk02/TEL.png	main/davL.png	KO	전화는 밴드 멤버인 마틴에게서 온 것이다.
disk02	NO1	700	38	マ－チンからの電話を聞く。	disk02/TEL.png	main/davL.png	KO	마틴의 전화를 받는다.
disk02	NO1	700	39	事件について考える。	disk02/TEL.png	main/davL.png	KO	사건에 대해 생각한다.
disk02	NO1	720	40	とりあえず、事務所に行くしかなさそうだ。	disk02/TEL.png	main/davL.png	KO	일단 사무실로 가는 수밖에 없을 것 같다.
disk02	NO1	730	41	とにかく、マ－チンからの電話を聞いてみよう。	disk02/TEL.png	main/davL.png	KO	어쨌든 마틴의 이야기부터 들어보자.
disk02	NO1	770	42	ヴュ－ズ・レ－ベル事務所に行く。	disk02/TEL.png	main/davL.png	KO	사무실로 이동한다.
disk02	NO1	780	43	デビッドは、ミネラル・ウォ－タ－を一気に飲み干し、ヴュ－ズ・レ－ベル事務所に急いだ。	disk02/MYR1.png	main/davL.png	KO	데이비드는 생수를 단숨에 들이키고, 서둘러 Views 레이블 사무실로 향했다.
disk02	NO1	805	48	マ－チン「デビッド！・・・プロダクションから連絡が入ったよ・・・ク・クレアが・・・」	disk02/MYR1.png	main/marL.png	KO	마틴: 데이비드! ...회사에서 연락이 왔어... 크, 클레어가...
disk02	NO1	810	49	デビッド「あ、ああ・・・　今、ニュ－スで・・・」	disk02/MYR1.png	main/davL.png	KO	데이비드: 아, 나도... 방금 뉴스를 봤어...
